_id,badge_level,cities_visited,helpful_votes,Vote_Categories,member__contribution,Contribution_Categories,member_since_year,Countries,user_Name
5b7a2e6340f98408e422d7f4,3,NA,NA,,12,>= 10,2012,Australia,Deniz1345
5b7a72e540f98408e4231e4e,3,NA,NA,,12,>= 10,2012,Singapore,janettat
5b7a2e6340f98408e422d7fe,2,NA,NA,,5,< 10,2014,NA,Angela C
5b7a431940f98408e422eca6,3,467,NA,,7,< 10,2012,Others,morag m
5b7a431940f98408e422ec5c,3,337,NA,,3,< 10,2012,NA,Thomas_0608
5b7a803d40f98408e4233449,2,265,NA,,7,< 10,2012,UK,Pravin A
5b7a431940f98408e422ee28,2,229,NA,,7,< 10,2007,NA,ExpatDi
5b7a72e540f98408e4231759,1,222,NA,,3,< 10,2008,Australia,BlueberryGeezer
5b7a431940f98408e422f031,2,164,NA,,2,< 10,2012,NA,jocelynaus
5b7a2e6340f98408e422d56e,6,158,NA,,1,< 10,2006,UK,echidnatrip
5b7a504e40f98408e422fd1e,3,153,NA,,4,< 10,2005,US,Emilyemilysin
5b7a504e40f98408e4230483,3,142,NA,,2,< 10,2005,Australia,dunnekk
5b7a504e40f98408e422fdad,3,138,NA,,2,< 10,2012,Australia,Lillianzsm
5b7a504e40f98408e42306bb,3,129,NA,,3,< 10,2014,US,ジェイ フ
5b7a72e540f98408e4231d23,2,117,NA,,2,< 10,2009,Australia,Jlikestravel199
5b7a72e540f98408e42317bd,2,93,NA,,1,< 10,2011,China,traveller123987
5b7a431940f98408e422e4e4,3,82,NA,,11,>= 10,2012,Australia,
5b7a431940f98408e422e568,3,80,NA,,2,< 10,2010,Canada,gwerdna
5b7a431940f98408e422ef01,3,74,NA,,10,>= 10,2009,NA,iammrsyates
5b7a803d40f98408e423362b,1,67,NA,,4,< 10,2008,UAE,scubafun1234
5b7a72e540f98408e4231cf1,3,64,NA,,13,>= 10,2012,Singapore,
5b7a431940f98408e422ed55,2,61,NA,,3,< 10,2011,NA,OCM22
5b7a72e540f98408e4231c66,2,60,NA,,6,< 10,2015,Others,212riteshm
5b7a504e40f98408e422ffd2,1,57,NA,,4,< 10,2011,India,eatshopeatshop
5b7a431940f98408e422e98d,2,49,NA,,1,< 10,2008,NA,Takethatfan99
5b7a72e540f98408e4231cae,2,49,NA,,5,< 10,2012,Singapore,
5b7a431940f98408e422edf6,1,47,NA,,1,< 10,2013,China,darmaputra22
5b7a803d40f98408e4232cc0,2,42,NA,,6,< 10,2012,Indonesia,Jatin A
5b7a72e540f98408e42315af,1,35,NA,,1,< 10,2012,NA,LCG1984
5b7a504e40f98408e42307b6,2,34,NA,,4,< 10,2013,NA,
5b7a2e6340f98408e422d89d,1,34,NA,,3,< 10,2014,South Korea,CleoBKK
5b7a431940f98408e422ed4b,3,32,NA,,11,>= 10,2015,Others,Shih Jay H
5b7a431940f98408e422ef99,1,29,NA,,3,< 10,2009,NA,Mark D
5b7a504e40f98408e423029c,3,28,NA,,10,>= 10,2012,Indonesia,karthigakarthisf
5b7a72e540f98408e4231a81,1,26,NA,,3,< 10,2008,Australia,LilaloTLV
5b7a431940f98408e422ebad,2,23,NA,,7,< 10,2012,NA,Adrian1968
5b7a2e6340f98408e422d49d,1,22,NA,,2,< 10,2015,US,Andy and Julia ... B
5b7a2e6340f98408e422cdac,3,21,NA,,15,>= 10,2013,Indonesia,Altancan
5b7a431940f98408e422ed8f,2,21,NA,,3,< 10,2017,Australia,bgoh1973
5b7a431940f98408e422e853,3,17,NA,,10,>= 10,2017,Others,
5b7a72e540f98408e4231541,2,16,NA,,5,< 10,2008,Singapore,Cindysym
5b7a72e540f98408e42316df,1,16,NA,,3,< 10,2011,Others,BYOBLOVERS
5b7a2e6340f98408e422d4d8,1,16,NA,,3,< 10,2015,Singapore,Irene D
5b7a431940f98408e422ea45,4,15,NA,,19,>= 10,2015,Others,JenAndDus
5b7a2e6340f98408e422d8d7,2,15,NA,,3,< 10,2010,NA,Chris C
5b7a72e540f98408e423157c,1,15,NA,,3,< 10,2010,Singapore,KANGA54
5b7a431940f98408e422ea11,5,14,NA,,32,>= 10,2017,NA,Bobbin72
5b7a431940f98408e422e5ed,3,14,NA,,16,>= 10,2018,NA,gauravnarula2004
5b7a2e6340f98408e422ceb0,4,13,NA,,31,>= 10,2015,NA,
5b7a431940f98408e422eabd,3,13,NA,,13,>= 10,2016,Belgium,Nandan D
5b7a431940f98408e422edf7,3,12,NA,,21,>= 10,2014,NA,Alice0814
5b7a431940f98408e422ee91,3,12,NA,,17,>= 10,2016,Australia,Melasx
5b7a504e40f98408e4230394,3,12,NA,,13,>= 10,2012,Singapore,Emily A
5b7a72e540f98408e4231b0b,2,12,NA,,3,< 10,2012,Thailand,Cilgwyn
5b7a431940f98408e422e89c,3,11,NA,,19,>= 10,2016,NA,richardhudson5
5b7a504e40f98408e422ffd1,3,11,NA,,17,>= 10,2015,US,Naran K
5b7a803d40f98408e42332e3,2,11,NA,,3,< 10,2008,Australia,Ma0317
5b7a431940f98408e422e57e,2,10,NA,,9,< 10,2014,NA,maggieeh
5b7a72e540f98408e4231e9e,2,10,NA,,5,< 10,2008,Australia,Paul G
5b7a72e540f98408e4231c38,3,9,NA,,14,>= 10,2009,Australia,LauraCarvo
5b7a431940f98408e422ecbf,3,8,NA,,16,>= 10,2011,Others,Brixham23
5b7a431940f98408e422e7de,3,8,NA,,12,>= 10,2018,NA,JMMdeABQ
5b7a72e540f98408e4231401,3,8,NA,,15,>= 10,2014,NA,Julian F
5b7a431940f98408e422ed98,3,8,NA,,18,>= 10,2014,US,Rors_4171
5b7a72e540f98408e42316b8,3,8,NA,,10,>= 10,2010,Singapore,edi_gurre
5b7a72e540f98408e4231418,2,8,NA,,4,< 10,2014,UAE,HickeyGirl
5b7a431940f98408e422ef31,2,8,NA,,4,< 10,2012,Others,Hee Kuen T
5b7a431940f98408e422e80d,2,8,NA,,3,< 10,2010,Others,Chris905
5b7a72e540f98408e4231463,1,8,NA,,3,< 10,2012,NA,Al-karimK
5b7a431940f98408e422ee00,1,8,NA,,4,< 10,2014,UK,Pappmelinda
5b7a431940f98408e422ef14,3,7,NA,,15,>= 10,2012,UK,expatmomdiaries
5b7a72e540f98408e423190b,3,7,NA,,12,>= 10,2015,NA,Andrew700
5b7a431940f98408e422efc4,3,7,NA,,9,< 10,2016,NA,chrishunkin
5b7a72e540f98408e4231772,2,7,NA,,9,< 10,2013,NA,AntMelbEat
5b7a504e40f98408e42302a8,2,7,NA,,6,< 10,2012,NA,Christina B
5b7a72e540f98408e423142e,2,7,NA,,7,< 10,2011,Australia,Russ F
5b7a504e40f98408e42302fd,2,7,NA,,6,< 10,2008,US,Longweekendsrock
5b7a431940f98408e422e88a,1,7,NA,,3,< 10,2017,UAE,Teebs212
5b7a504e40f98408e422fc83,3,6,NA,,12,>= 10,2018,NA,jillduncan08
5b7a72e540f98408e4231b80,3,6,NA,,13,>= 10,2015,NA,mondki
5b7a431940f98408e422ead9,3,6,NA,,6,< 10,2017,NA,shimauli
5b7a2e6340f98408e422ce2e,3,6,NA,,10,>= 10,2014,NA,smott123
5b7a2e6340f98408e422cfd2,3,6,NA,,10,>= 10,2014,NA,Smp441
5b7a72e540f98408e4231c64,3,6,NA,,10,>= 10,2015,US,Marion L
5b7a431940f98408e422edf4,3,6,NA,,13,>= 10,2012,Singapore,Christie F
